Location,Opioid Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year
United States,3.3,6.8,0.1,0.1
Alabama,1.3,4.9,0.3,0.09
Alaska,NR,9.4,NSD,0.32
Arizona,5.2,10.9,0.08,0.03
Arkansas,1.1,4.8,0.38,-0.11
California,1.6,3.6,-0.47,-0.38
Colorado,4.2,9,0.08,0.14
Connecticut,4.3,8.8,-0.1,-0.04
Delaware,4.5,8,0.22,0.14
District of Columbia,8.1,16.2,0.05,0.21
Florida,5.4,10.9,0.5,0.47
Georgia,2.1,6,0.5,0.36
Hawaii,3,6.2,0.3,0.22
Idaho,4.1,7.8,0.86,0.53
Illinois,4.2,7.1,-0.07,0.01
Indiana,1.1,4.7,0.57,0.34
Iowa,0.9,3,NSD,0.2
Kansas,1.8,5.3,1,0.33
Kentucky,3.5,8.4,0.52,0.42
Louisiana,1.8,6,0.5,0.07
Maine,4.3,6.5,0.34,0.35
Maryland,8.8,11.5,0.01,0.02
Massachusetts,7.6,10.5,0.58,0.48
Michigan,1.9,6.2,0.06,0.11
Minnesota,1.9,3.7,0.73,0.42
Mississippi,0.9,6.2,NSD,0.48
Missouri,2.4,6.3,0,0.15
Montana,2.3,6.2,NSD,0.38
Nebraska,1.9,3.9,NSD,0.39
Nevada,8.5,12.3,-0.03,-0.1
New Hampshire,4.1,6.1,0.86,0.79
New Jersey,4.6,8.1,0.12,0.08
New Mexico,8.4,14.4,-0.16,-0.05
New York,3.2,5.6,0.23,0.4
North Carolina,4.1,6.6,0.17,0.1
North Dakota,NSD,NR,NSD,NSD
Ohio,3,6.5,0.36,0.3
Oklahoma,4.6,8,0.21,0.13
Oregon,4.2,6.9,0.35,0.15
Pennsylvania,2.1,7.9,-0.22,-0.17
Rhode Island,7.4,10.2,0.37,0.46
South Carolina,2,5.9,-0.09,-0.09
South Dakota,NSD,3.2,NSD,0.14
Tennessee,2.4,7.3,0.33,0.06
Texas,2.6,6.6,0.44,0.32
Utah,7.8,10.4,0.03,0
Vermont,5,7.1,0.39,0.22
Virginia,4.2,6.2,0.24,0.11
Washington,5.3,8.1,-0.09,-0.12
West Virginia,7.9,11.5,1.82,0.85
Wisconsin,2.6,5,0.24,0.09
Wyoming,NSD,4.5,NSD,-0.02
