Location,Opioid Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year
United States,5.1,10.1,0.09,0.07
Alabama,1.8,6.3,0,-0.02
Alaska,NR,11.4,NSD,-0.1
Arizona,6.6,14.1,0.05,0.03
Arkansas,4.6,10.1,-0.04,0.16
California,3.8,9,-0.05,0.02
Colorado,6.2,12.7,0.29,0.17
Connecticut,4.7,8.5,-0.18,-0.11
Delaware,3.5,7.5,-0.17,-0.01
District of Columbia,7.8,13.7,-0.17,-0.12
Florida,6.3,13.5,-0.11,0.02
Georgia,3.3,8.2,0.14,0.09
Hawaii,5,9.4,0.14,0.18
Idaho,3.7,8.1,0.06,0.09
Illinois,4.7,8.4,0.12,0.01
Indiana,2.6,9.8,0.18,0.11
Iowa,2.4,4.8,0.14,0.14
Kansas,4.1,9.1,-0.07,0.07
Kentucky,6.8,15.3,0.26,0.2
Louisiana,3.8,14.7,0.19,0.21
Maine,9,12.4,0.17,0.13
Maryland,8.6,11.4,0.01,-0.04
Massachusetts,8.6,12,0.21,0.17
Michigan,4.8,9.8,0.37,0.13
Minnesota,2.8,5.4,0.08,0.13
Mississippi,1.4,8.8,0.4,0.07
Missouri,5.3,10.7,0.08,0.09
Montana,4.7,10.1,-0.06,-0.07
Nebraska,2.5,5,0.56,0.39
Nevada,13.1,18.7,0.13,0.17
New Hampshire,8.2,10.7,0.19,0.11
New Jersey,5,9.4,0.39,0.38
New Mexico,11.4,20.1,0.14,0.19
New York,2.9,4.8,0.21,0.12
North Carolina,7.5,11.4,0.14,0.15
North Dakota,NSD,NR,NSD,NSD
Ohio,4.9,10.9,0.09,0.1
Oklahoma,9,13.8,0.01,-0.01
Oregon,7.2,10.4,0.16,0.04
Pennsylvania,4.2,13.2,0.08,0.04
Rhode Island,10.3,14.3,0.47,0.46
South Carolina,3.5,9.9,0.13,0.18
South Dakota,3.1,5.5,0.15,-0.05
Tennessee,7.5,14.5,0.17,0.13
Texas,3.9,8.5,0.05,0.04
Utah,14.2,19.3,0.2,0.18
Vermont,6.1,8.5,0,0.06
Virginia,4.7,7.5,-0.08,0.03
Washington,9.2,13,0.02,0.02
West Virginia,8.2,10.5,-0.42,-0.44
Wisconsin,4.9,9.3,0.23,0.18
Wyoming,NR,4.9,NSD,-0.46
