Location,Opioid Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year
United States,6.1,11.9,0.03,0.03
Alabama,3.6,11.1,0.33,0.28
Alaska,NR,10.1,NSD,-0.09
Arizona,7.7,15.7,-0.01,0.05
Arkansas,5.4,10.9,0.06,0.04
California,4.5,10.5,0.1,0.09
Colorado,7,14.7,0.04,0.15
Connecticut,7,12.2,0.09,0.06
Delaware,5.1,11.4,0.13,0.21
District of Columbia,5.2,10.8,-0.46,-0.39
Florida,8.2,15.4,0.19,0.07
Georgia,4.1,9.7,0.14,0.09
Hawaii,5.7,10,0.43,0.56
Idaho,4.3,8.6,-0.14,-0.08
Illinois,5.5,9.4,-0.2,-0.14
Indiana,3.9,12.4,0.39,0.05
Iowa,3.6,6.9,0.09,0.05
Kansas,4.4,10,-0.02,0.05
Kentucky,8.1,16.7,0.01,-0.04
Louisiana,4.9,18.8,0.07,0.14
Maine,8.1,12.4,0.11,0.03
Maryland,10.3,13.2,0.06,0
Massachusetts,9.9,14,-0.02,-0.05
Michigan,5.1,12.2,-0.15,0.04
Minnesota,3.4,6.4,0.13,0.08
Mississippi,3.3,11,0.43,-0.09
Missouri,6.7,12.3,-0.06,-0.05
Montana,6.3,12.8,0.21,0.25
Nebraska,2.4,4.8,0.26,-0.11
Nevada,14.2,18.9,0.06,0.05
New Hampshire,10.9,13.8,0.38,0.23
New Jersey,3.9,8.4,-0.09,-0.13
New Mexico,13.5,23.4,0.08,0.07
New York,5.2,8.6,0,0
North Carolina,8.2,11.9,0.05,0.01
North Dakota,NR,4.8,NSD,NSD
Ohio,6.2,13.9,0.11,0.05
Oklahoma,13.9,18.8,0.25,0.16
Oregon,9.4,13.2,-0.02,0.02
Pennsylvania,4,13.9,0.14,0.03
Rhode Island,8,12.4,-0.34,-0.24
South Carolina,4.5,12.1,-0.08,-0.05
South Dakota,2.5,4.1,-0.24,-0.2
Tennessee,7.8,15.8,0.01,-0.01
Texas,4.3,9.3,-0.07,-0.02
Utah,14.7,21.3,0.06,0.12
Vermont,8.8,10.8,-0.06,-0.11
Virginia,6.4,8.9,0.21,0.11
Washington,9.7,14.4,-0.03,0.06
West Virginia,19,22.4,0.18,0.1
Wisconsin,6.7,11.1,0.12,0.05
Wyoming,4.6,12.3,NSD,0.16
