Location,Opioid Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year
United States,6.6,11.9,0.03,0
Alabama,4.5,13.6,0.1,0.05
Alaska,12.5,17.9,0,-0.01
Arizona,9.8,16.1,0.21,0.19
Arkansas,7.2,12.6,0,-0.04
California,5.2,10.7,0.08,0.03
Colorado,7.7,15,0.1,0.01
Connecticut,6.2,11,-0.05,0.03
Delaware,9.3,15.4,0.21,0.08
District of Columbia,NSD,4.1,NSD,-0.57
Florida,8.7,16.7,0.06,0.03
Georgia,5,10.3,0.19,0.06
Hawaii,4.1,9.6,0.05,0.07
Idaho,4.2,11.6,-0.13,0.18
Illinois,6.9,10.8,0.03,0.02
Indiana,5,14,0,0.06
Iowa,4.9,7.1,0.11,-0.01
Kansas,5.5,11.1,0.57,0.39
Kentucky,10.2,18,0.17,0.01
Louisiana,2.8,13.1,-0.03,-0.12
Maine,8.7,12.7,0.06,0.03
Maryland,9.9,12.5,0.14,0.06
Massachusetts,9.4,12.2,0.03,0.03
Michigan,7.5,14.5,0.15,0.17
Minnesota,5.2,7.9,0.21,0.1
Mississippi,3.4,11.2,-0.08,0.07
Missouri,9,14.6,0.1,0.11
Montana,9.4,14.6,0.24,0.04
Nebraska,3.7,5.9,1.18,0.07
Nevada,15.9,20.1,0.08,0.05
New Hampshire,9.5,12.5,0.36,0.33
New Jersey,0.7,3,-0.82,-0.63
New Mexico,10.2,22,-0.39,-0.18
New York,5.4,8,-0.04,-0.06
North Carolina,9.1,12.6,0,-0.02
North Dakota,NSD,4.4,NSD,-0.41
Ohio,5.9,10.9,-0.18,-0.28
Oklahoma,15.5,20.6,0.36,0.32
Oregon,9.5,12.9,0.06,0.09
Pennsylvania,5.2,15.2,0.06,0.02
Rhode Island,10.6,14.8,-0.15,-0.14
South Carolina,5.2,13.3,0.08,0.06
South Dakota,4.6,6.7,0.1,-0.08
Tennessee,8.5,15.2,0.1,0.03
Texas,4.6,9.8,0.18,0.15
Utah,14.7,19.1,0.05,0.01
Vermont,6,8.3,-0.3,-0.24
Virginia,5.9,8.5,-0.05,-0.06
Washington,10.2,14.3,0.01,-0.03
West Virginia,10.3,12.4,-0.51,-0.52
Wisconsin,6.9,10.9,0.05,0.03
Wyoming,5.7,11,-0.25,-0.21
