Location,Opioid Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year
United States,6.8,12.3,0.03,0.03
Alabama,4.1,11.8,-0.09,-0.13
Alaska,8.7,11.6,-0.3,-0.35
Arizona,9.9,17.5,0.01,0.09
Arkansas,6.8,12.5,-0.06,-0.01
California,5,10.6,-0.04,-0.01
Colorado,5.9,12.7,-0.23,-0.15
Connecticut,6.3,10.1,0.02,-0.08
Delaware,12,16.6,0.29,0.08
District of Columbia,5.8,12.9,NSD,2.15
Florida,9.1,16.4,0.05,-0.02
Georgia,5.4,10.7,0.08,0.04
Hawaii,5.3,10.9,0.29,0.14
Idaho,5.3,11.8,0.26,0.02
Illinois,6.8,10,-0.01,-0.07
Indiana,4.5,14.4,-0.1,0.03
Iowa,5.1,8.6,0.04,0.21
Kansas,3.8,9.6,-0.31,-0.14
Kentucky,14.1,23.6,0.38,0.31
Louisiana,2.8,13.2,0,0.01
Maine,7.1,10.4,-0.18,-0.18
Maryland,8.7,11,-0.12,-0.12
Massachusetts,8.3,11,-0.12,-0.1
Michigan,7,13.9,-0.07,-0.04
Minnesota,4.4,7.3,-0.15,-0.08
Mississippi,3.3,11.4,-0.03,0.02
Missouri,10.3,17,0.14,0.16
Montana,6.1,12.9,-0.35,-0.12
Nebraska,3.4,6.7,-0.08,0.14
Nevada,15.8,20.7,-0.01,0.03
New Hampshire,8.9,11.8,-0.06,-0.06
New Jersey,4.2,9.8,5,2.27
New Mexico,9.5,23.8,-0.07,0.08
New York,5.4,7.8,0,-0.03
North Carolina,8.1,11.4,-0.11,-0.1
North Dakota,NSD,3.4,NSD,-0.23
Ohio,10,16.1,0.69,0.48
Oklahoma,13.9,19.4,-0.1,-0.06
Oregon,8.5,12.9,-0.11,0
Pennsylvania,5.1,15.3,-0.02,0.01
Rhode Island,10.5,15.5,-0.01,0.05
South Carolina,5.9,14.6,0.13,0.1
South Dakota,4.5,6.3,-0.02,-0.06
Tennessee,10,16.9,0.18,0.11
Texas,4.4,9.6,-0.04,-0.02
Utah,12.8,16.9,-0.13,-0.12
Vermont,6.8,9.7,0.13,0.17
Virginia,4.8,6.8,-0.19,-0.2
Washington,8.9,13.1,-0.13,-0.08
West Virginia,25.6,28.9,1.49,1.33
Wisconsin,7.3,10.9,0.06,0
Wyoming,8.5,15,0.49,0.36
