Location,Opioid Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year
United States,6.4,11.9,0.05,0
Alabama,4.1,13,0.14,0.17
Alaska,12.5,18.1,NSD,0.79
Arizona,8.1,13.5,0.05,-0.14
Arkansas,7.2,13.1,0.33,0.2
California,4.8,10.4,0.07,-0.01
Colorado,7,14.8,0,0.01
Connecticut,6.5,10.7,-0.07,-0.12
Delaware,7.7,14.3,0.51,0.25
District of Columbia,5.1,9.6,-0.02,-0.11
Florida,8.2,16.2,0,0.05
Georgia,4.2,9.7,0.02,0
Hawaii,3.9,9,-0.32,-0.1
Idaho,4.8,9.8,0.12,0.14
Illinois,6.7,10.6,0.22,0.13
Indiana,5,13.2,0.28,0.06
Iowa,4.4,7.2,0.22,0.04
Kansas,3.5,8,-0.2,-0.2
Kentucky,8.7,17.9,0.07,0.07
Louisiana,2.9,14.9,-0.41,-0.21
Maine,8.2,12.3,0.01,-0.01
Maryland,8.7,11.8,-0.16,-0.11
Massachusetts,9.1,11.9,-0.08,-0.15
Michigan,6.5,12.4,0.27,0.02
Minnesota,4.3,7.2,0.26,0.13
Mississippi,3.7,10.5,0.12,-0.05
Missouri,8.2,13.1,0.22,0.07
Montana,7.6,14.1,0.21,0.1
Nebraska,1.7,5.5,-0.29,0.15
Nevada,14.7,19.2,0.04,0.02
New Hampshire,7,9.4,-0.36,-0.32
New Jersey,3.8,8,-0.03,-0.05
New Mexico,16.6,26.7,0.23,0.14
New York,5.6,8.5,0.08,-0.01
North Carolina,9.1,12.8,0.11,0.08
North Dakota,5.1,7.4,NSD,0.54
Ohio,7.2,15.1,0.16,0.09
Oklahoma,11.4,15.6,-0.18,-0.17
Oregon,9,11.8,-0.04,-0.11
Pennsylvania,4.9,14.9,0.23,0.07
Rhode Island,12.5,17.3,0.56,0.4
South Carolina,4.8,12.5,0.07,0.03
South Dakota,4.2,7.3,0.68,0.78
Tennessee,7.7,14.8,-0.01,-0.06
Texas,3.9,8.5,-0.09,-0.09
Utah,14,19,-0.05,-0.11
Vermont,8.6,10.9,-0.02,0.01
Virginia,6.2,9,-0.03,0.01
Washington,10.1,14.8,0.04,0.03
West Virginia,21,25.7,0.11,0.15
Wisconsin,6.6,10.6,-0.01,-0.05
Wyoming,7.6,14,0.65,0.14
