Location,Opioid Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year
United States,14.9,21.7,0.12,0.1
Alabama,9,18,0.2,0.11
Alaska,13.9,20.2,0.11,0.2
Arizona,13.5,22.2,0.18,0.09
Arkansas,6.5,15.5,0.1,0.11
California,5.3,11.7,0.08,0.04
Colorado,10,17.6,0.05,0.06
Connecticut,27.7,30.9,0.13,0.13
Delaware,27.8,37,0.64,0.2
District of Columbia,34.7,44,0.16,0.13
Florida,16.3,25.1,0.13,0.06
Georgia,9.7,14.7,0.1,0.11
Hawaii,3.4,13.8,-0.35,0.08
Idaho,6.2,14.4,-0.16,-0.05
Illinois,17.2,21.6,0.12,0.14
Indiana,18.8,29.4,0.49,0.23
Iowa,6.9,11.5,0.11,0.08
Kansas,5.1,11.8,0,0.06
Kentucky,27.9,37.2,0.18,0.11
Louisiana,9.3,24.5,0.21,0.12
Maine,29.9,34.4,0.19,0.2
Maryland,32.2,36.3,0.08,0.09
Massachusetts,28.2,31.8,-0.05,-0.04
Michigan,21.2,27.8,0.15,0.14
Minnesota,7.8,13.3,0.05,0.06
Mississippi,6.4,12.2,0.03,0.01
Missouri,16.5,23.4,0.04,-0.01
Montana,3.6,11.7,-0.14,0
Nebraska,3.1,8.1,0.29,0.27
Nevada,13.3,21.6,0,0
New Hampshire,34,37,-0.05,-0.05
New Jersey,22,30,0.38,0.29
New Mexico,16.7,24.8,-0.05,-0.02
New York,16.1,19.4,0.07,0.08
North Carolina,19.8,24.1,0.29,0.22
North Dakota,4.8,9.2,-0.37,-0.13
Ohio,39.2,46.3,0.19,0.18
Oklahoma,10.2,20.1,-0.12,-0.07
Oregon,8.1,12.4,0.07,0.04
Pennsylvania,21.2,44.3,0.15,0.17
Rhode Island,26.9,31,0.01,0.01
South Carolina,15.5,20.5,0.18,0.13
South Dakota,4,8.5,-0.2,0.01
Tennessee,19.3,26.6,0.07,0.09
Texas,5.1,10.5,0.04,0.04
Utah,15.5,22.3,-0.05,0
Vermont,20,23.2,0.09,0.05
Virginia,14.8,17.9,0.1,0.07
Washington,9.6,15.2,0.02,0.05
West Virginia,49.6,57.8,0.14,0.11
Wisconsin,16.9,21.2,0.07,0.1
Wyoming,8.7,12.2,0,-0.31
