Location,Opioid Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year
United States,5.9,11.5,0.16,0.14
Alabama,2.7,8.7,0.5,0.38
Alaska,4.1,11.1,NSD,-0.03
Arizona,7.8,14.9,0.18,0.06
Arkansas,5.1,10.5,0.11,0.04
California,4.1,9.6,0.08,0.07
Colorado,6.7,12.8,0.08,0.01
Connecticut,6.4,11.5,0.36,0.35
Delaware,4.5,9.4,0.29,0.25
District of Columbia,9.6,17.8,0.23,0.3
Florida,6.9,14.4,0.1,0.07
Georgia,3.6,8.9,0.09,0.09
Hawaii,4,6.4,-0.2,-0.32
Idaho,5,9.3,0.35,0.15
Illinois,6.9,10.9,0.47,0.3
Indiana,2.8,11.8,0.08,0.2
Iowa,3.3,6.6,0.38,0.38
Kansas,4.5,9.5,0.1,0.04
Kentucky,8,17.4,0.18,0.14
Louisiana,4.6,16.5,0.21,0.12
Maine,7.3,12,-0.19,-0.03
Maryland,9.7,13.2,0.13,0.16
Massachusetts,10.1,14.7,0.17,0.23
Michigan,6,11.7,0.25,0.19
Minnesota,3,5.9,0.07,0.09
Mississippi,2.3,12.1,0.64,0.38
Missouri,7.1,13,0.34,0.21
Montana,5.2,10.2,0.11,0.01
Nebraska,1.9,5.4,-0.24,0.08
Nevada,13.4,18,0.02,-0.04
New Hampshire,7.9,11.2,-0.04,0.05
New Jersey,4.3,9.7,-0.14,0.03
New Mexico,12.5,21.8,0.1,0.08
New York,5.2,8.6,0.79,0.79
North Carolina,7.8,11.8,0.04,0.04
North Dakota,NSD,NR,NSD,NSD
Ohio,5.6,13.2,0.14,0.21
Oklahoma,11.1,16.2,0.23,0.17
Oregon,9.6,12.9,0.33,0.24
Pennsylvania,3.5,13.5,-0.17,0.02
Rhode Island,12.2,16.4,0.18,0.15
South Carolina,4.9,12.7,0.4,0.28
South Dakota,3.3,5.1,0.06,-0.07
Tennessee,7.7,16,0.03,0.1
Texas,4.6,9.5,0.18,0.12
Utah,13.9,19.1,-0.02,-0.01
Vermont,9.4,12.2,0.54,0.44
Virginia,5.3,8,0.13,0.07
Washington,10,13.6,0.09,0.05
West Virginia,16.1,20.4,0.96,0.94
Wisconsin,6,10.6,0.22,0.14
Wyoming,NR,10.6,NSD,1.16
