Location,Opioid Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year
United States,3,6.2,0.03,0.02
Alabama,1,4.5,0.25,0.15
Alaska,4,7.1,0,-0.05
Arizona,4.8,10.6,0.02,0
Arkansas,0.8,5.4,-0.27,0.23
California,3,5.8,-0.33,-0.28
Colorado,3.9,7.9,0.05,-0.01
Connecticut,4.8,9.2,0.09,0.02
Delaware,3.7,7,-0.1,0.09
District of Columbia,7.7,13.4,0.57,0.61
Florida,3.6,7.4,0.38,0.16
Georgia,1.4,4.4,0.4,0.26
Hawaii,2.3,5.1,-0.04,-0.22
Idaho,2.2,5.1,-0.12,-0.04
Illinois,4.5,7,0.15,0.04
Indiana,0.7,3.5,-0.13,0.09
Iowa,NR,2.5,NSD,0.32
Kansas,0.9,4,-0.1,0.18
Kentucky,2.3,5.9,0.77,0.2
Louisiana,1.2,5.6,0.71,0.3
Maine,3.2,4.8,0.52,-0.09
Maryland,8.7,11.3,-0.01,-0.01
Massachusetts,4.8,7.1,-0.04,-0.05
Michigan,1.8,5.6,0.5,0.22
Minnesota,1.1,2.6,-0.08,-0.07
Mississippi,NR,4.2,NSD,0.31
Missouri,2.4,5.5,0.33,0.1
Montana,NR,4.5,NSD,-0.02
Nebraska,NR,2.8,NSD,0.22
Nevada,8.8,13.7,0.13,0.19
New Hampshire,2.2,3.4,-0.31,-0.21
New Jersey,4.1,7.5,0.08,0.15
New Mexico,10,15.1,-0.02,0.01
New York,2.6,4,-0.19,-0.2
North Carolina,3.5,6,0.75,0.3
North Dakota,NSD,NR,NSD,NSD
Ohio,2.2,5,0.47,0.19
Oklahoma,3.8,7.1,0.41,0.31
Oregon,3.1,6,-0.11,-0.02
Pennsylvania,2.7,9.5,0,0.17
Rhode Island,5.4,7,0.59,0.27
South Carolina,2.2,6.5,0.83,0.76
South Dakota,NSD,2.8,NSD,NSD
Tennessee,1.8,6.9,0.13,0.13
Texas,1.8,5,0.06,-0.07
Utah,7.6,10.4,0.04,-0.02
Vermont,3.6,5.8,NSD,0.23
Virginia,3.4,5.6,0.26,0.12
Washington,5.8,9.2,-0.02,-0.01
West Virginia,2.8,6.2,0.56,0.51
Wisconsin,2.1,4.6,0.31,0.15
Wyoming,NR,4.6,NSD,0.12
