Location,Opioid Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year
United States,4.5,8.9,0.1,0.09
Alabama,1.1,4.4,-0.31,-0.08
Alaska,NR,12.7,NSD,0.04
Arizona,6.4,12.7,0.03,0.06
Arkansas,3.4,7,-0.03,0.03
California,4,8.9,-0.05,0.02
Colorado,4.5,10.7,0.07,0.1
Connecticut,4.9,8.8,-0.02,-0.15
Delaware,4.5,9.4,-0.25,-0.1
District of Columbia,10.7,18.1,1.06,0.66
Florida,6.3,12.4,0.07,0.05
Georgia,2.7,6.9,0.08,0.06
Hawaii,3.4,7.1,-0.08,0.16
Idaho,4.2,7.9,0.2,-0.13
Illinois,3.7,6.8,-0.2,-0.14
Indiana,2.1,7.1,1.1,0.48
Iowa,1.4,3.4,0.08,0.1
Kansas,2.9,7.1,-0.03,0.11
Kentucky,5.7,13.6,0.3,0.3
Louisiana,2.7,12.1,0.29,0.46
Maine,6.7,10.3,-0.08,-0.06
Maryland,9.9,13.8,0.02,0.07
Massachusetts,9,12.6,0.22,0.18
Michigan,2.5,7.6,0.09,0.01
Minnesota,2.1,4.8,0.11,0.23
Mississippi,1.1,7.5,0.22,0.14
Missouri,4.8,9.3,0.41,0.24
Montana,4.7,10.6,1.14,0.22
Nebraska,NR,3.2,NSD,-0.18
Nevada,10.8,15.2,0.08,0.03
New Hampshire,7,9.5,0.11,0.09
New Jersey,5.1,8.3,-0.09,-0.11
New Mexico,12,19.7,0.08,0.22
New York,3,5,0.03,0.04
North Carolina,5.8,9,0.18,0.17
North Dakota,NSD,3.5,NSD,NSD
Ohio,3.2,6.8,-0.14,-0.17
Oklahoma,7.5,11.8,0.74,0.66
Oregon,5.7,9.8,0.06,0.1
Pennsylvania,3.9,11.4,0.34,0.25
Rhode Island,9.3,13.7,0.37,0.47
South Carolina,2.2,7,0.1,0.32
South Dakota,NSD,3.3,NSD,0.06
Tennessee,5,11.3,0.72,0.33
Texas,3.6,8.1,0.06,0.08
Utah,11.8,16.1,0.22,0.15
Vermont,7.2,10.2,0.24,0.36
Virginia,4.8,7.2,0.02,0.06
Washington,7.5,11.1,0.01,0.07
West Virginia,11.2,15.1,0.11,0.17
Wisconsin,3.7,7,0.16,0.13
Wyoming,NSD,5.9,NSD,-0.14
