Location,Opioid Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year
United States,2.9,6.1,NSD,NSD
Alabama,0.8,3.9,NSD,NSD
Alaska,4,7.5,NSD,NSD
Arizona,4.7,10.6,NSD,NSD
Arkansas,1.1,4.4,NSD,NSD
California,4.5,8.1,NSD,NSD
Colorado,3.7,8,NSD,NSD
Connecticut,4.4,9,NSD,NSD
Delaware,4.1,6.4,NSD,NSD
District of Columbia,4.9,8.3,NSD,NSD
Florida,2.6,6.4,NSD,NSD
Georgia,1,3.5,NSD,NSD
Hawaii,2.4,6.5,NSD,NSD
Idaho,2.5,5.3,NSD,NSD
Illinois,3.9,6.7,NSD,NSD
Indiana,0.8,3.2,NSD,NSD
Iowa,NR,1.9,NSD,NSD
Kansas,1,3.4,NSD,NSD
Kentucky,1.3,4.9,NSD,NSD
Louisiana,0.7,4.3,NSD,NSD
Maine,2.1,5.3,NSD,NSD
Maryland,8.8,11.4,NSD,NSD
Massachusetts,5,7.5,NSD,NSD
Michigan,1.2,4.6,NSD,NSD
Minnesota,1.2,2.8,NSD,NSD
Mississippi,NR,3.2,NSD,NSD
Missouri,1.8,5,NSD,NSD
Montana,NR,4.6,NSD,NSD
Nebraska,NSD,2.3,NSD,NSD
Nevada,7.8,11.5,NSD,NSD
New Hampshire,3.2,4.3,NSD,NSD
New Jersey,3.8,6.5,NSD,NSD
New Mexico,10.2,15,NSD,NSD
New York,3.2,5,NSD,NSD
North Carolina,2,4.6,NSD,NSD
North Dakota,NSD,NR,NSD,NSD
Ohio,1.5,4.2,NSD,NSD
Oklahoma,2.7,5.4,NSD,NSD
Oregon,3.5,6.1,NSD,NSD
Pennsylvania,2.7,8.1,NSD,NSD
Rhode Island,3.4,5.5,NSD,NSD
South Carolina,1.2,3.7,NSD,NSD
South Dakota,NSD,NR,NSD,NSD
Tennessee,1.6,6.1,NSD,NSD
Texas,1.7,5.4,NSD,NSD
Utah,7.3,10.6,NSD,NSD
Vermont,NR,4.7,NSD,NSD
Virginia,2.7,5,NSD,NSD
Washington,5.9,9.3,NSD,NSD
West Virginia,1.8,4.1,NSD,NSD
Wisconsin,1.6,4,NSD,NSD
Wyoming,NSD,4.1,NSD,NSD
