Location,Opioid Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year
United States,4.7,9.4,0.04,0.06
Alabama,1.8,6.4,0.64,0.45
Alaska,NR,12.7,NSD,0
Arizona,6.3,13.7,-0.02,0.08
Arkansas,4.8,8.7,0.41,0.24
California,4,8.8,0,-0.01
Colorado,4.8,10.9,0.07,0.02
Connecticut,5.7,9.6,0.16,0.09
Delaware,4.2,7.6,-0.07,-0.19
District of Columbia,9.4,15.5,-0.12,-0.14
Florida,7.1,13.2,0.13,0.06
Georgia,2.9,7.5,0.07,0.09
Hawaii,4.4,8,0.29,0.13
Idaho,3.5,7.4,-0.17,-0.06
Illinois,4.2,8.3,0.14,0.22
Indiana,2.2,8.8,0.05,0.24
Iowa,2.1,4.2,0.5,0.24
Kansas,4.4,8.5,0.52,0.2
Kentucky,5.4,12.8,-0.05,-0.06
Louisiana,3.2,12.1,0.19,0
Maine,7.7,11,0.15,0.07
Maryland,8.5,11.9,-0.14,-0.14
Massachusetts,7.1,10.3,-0.21,-0.18
Michigan,3.5,8.7,0.4,0.14
Minnesota,2.6,4.8,0.24,0
Mississippi,1,8.2,-0.09,0.09
Missouri,4.9,9.8,0.02,0.05
Montana,5,10.9,0.06,0.03
Nebraska,1.6,3.6,NSD,0.13
Nevada,11.6,16,0.07,0.05
New Hampshire,6.9,9.6,-0.01,0.01
New Jersey,3.6,6.8,-0.29,-0.18
New Mexico,10,16.9,-0.17,-0.14
New York,2.4,4.3,-0.2,-0.14
North Carolina,6.6,9.9,0.14,0.1
North Dakota,NR,NR,NSD,NSD
Ohio,4.5,9.9,0.41,0.46
Oklahoma,8.9,13.9,0.19,0.18
Oregon,6.2,10,0.09,0.02
Pennsylvania,3.9,12.7,0,0.11
Rhode Island,7,9.8,-0.25,-0.28
South Carolina,3.1,8.4,0.41,0.2
South Dakota,2.7,5.8,NSD,0.76
Tennessee,6.4,12.8,0.28,0.13
Texas,3.7,8.2,0.03,0.01
Utah,11.8,16.3,0,0.01
Vermont,6.1,8,-0.15,-0.22
Virginia,5.1,7.3,0.06,0.01
Washington,9,12.7,0.2,0.14
West Virginia,14.2,18.8,0.27,0.25
Wisconsin,4,7.9,0.08,0.13
Wyoming,NR,9.1,NSD,0.54
