Location,Opioid Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year
United States,7.3,13.2,0.07,0.07
Alabama,3.8,11.8,-0.07,0
Alaska,8.7,14.2,0,0.22
Arizona,8.8,16.9,-0.11,-0.03
Arkansas,6.2,12.6,-0.09,0.01
California,5,10.7,0,0.01
Colorado,8,16.1,0.36,0.27
Connecticut,6,11.2,-0.05,0.11
Delaware,12.6,17.6,0.05,0.06
District of Columbia,8,13.5,0.38,0.05
Florida,8.4,15.4,-0.08,-0.06
Georgia,5.4,10.7,0,0
Hawaii,5.4,12.4,0.02,0.14
Idaho,5.1,12.9,-0.04,0.09
Illinois,7.1,10.9,0.04,0.09
Indiana,5.6,15.3,0.24,0.06
Iowa,5.9,8.4,0.16,-0.02
Kansas,4.3,10.1,0.13,0.05
Kentucky,15.8,25,0.12,0.06
Louisiana,2.5,13.5,-0.11,0.02
Maine,6.7,11.8,-0.06,0.13
Maryland,9.1,11.7,0.05,0.06
Massachusetts,9.9,12.7,0.19,0.15
Michigan,7.5,14.3,0.07,0.03
Minnesota,5.3,9.4,0.2,0.29
Mississippi,2.9,10.7,-0.12,-0.06
Missouri,10.2,16.4,-0.01,-0.04
Montana,6.8,14.4,0.11,0.12
Nebraska,2.8,7.1,-0.18,0.06
Nevada,16.5,22.8,0.04,0.1
New Hampshire,11.5,15.3,0.29,0.3
New Jersey,5.1,11.3,0.21,0.15
New Mexico,11.9,26.3,0.25,0.11
New York,6.8,9.7,0.26,0.24
North Carolina,8.6,13,0.06,0.14
North Dakota,NSD,NSD,NSD,NSD
Ohio,11.2,17.7,0.12,0.1
Oklahoma,13,18.9,-0.06,-0.03
Oregon,10.1,13.5,0.19,0.05
Pennsylvania,6.2,18.3,0.22,0.2
Rhode Island,13.3,17.7,0.27,0.14
South Carolina,5.3,13.3,-0.1,-0.09
South Dakota,4.5,7.1,0,0.13
Tennessee,10.1,17.2,0.01,0.02
Texas,4.6,10.1,0.05,0.05
Utah,14.6,19.5,0.14,0.15
Vermont,9.1,12.9,0.34,0.33
Virginia,7.1,9.7,0.48,0.43
Washington,9.9,14.1,0.11,0.08
West Virginia,31.5,36.3,0.23,0.26
Wisconsin,8.3,12.1,0.14,0.11
Wyoming,7.5,15.2,-0.12,0.01
