Location,Opioid Overdose Death Rate (Age-Adjusted),All Drug Overdose Death Rate (Age-Adjusted),Percent Change in Opioid Overdose Death Rate from Prior Year,Percent Change in All Drug Overdose Death Rate from Prior Year
United States,4.1,8.2,0.24,0.21
Alabama,1.6,4.8,0.23,-0.02
Alaska,NSD,12.2,NSD,0.3
Arizona,6.2,12,0.19,0.1
Arkansas,3.5,6.8,2.18,0.42
California,4.2,8.7,1.63,1.42
Colorado,4.2,9.7,0,0.08
Connecticut,5,10.3,0.16,0.17
Delaware,6,10.5,0.33,0.31
District of Columbia,5.2,10.9,-0.36,-0.33
Florida,5.9,11.8,0.09,0.08
Georgia,2.5,6.5,0.19,0.08
Hawaii,3.7,6.1,0.23,-0.02
Idaho,3.5,9.1,-0.15,0.17
Illinois,4.6,7.9,0.1,0.11
Indiana,1,4.8,-0.09,0.02
Iowa,1.3,3.1,0.44,0.03
Kansas,3,6.4,0.67,0.21
Kentucky,4.4,10.5,0.26,0.25
Louisiana,2.1,8.3,0.17,0.38
Maine,7.3,10.9,0.7,0.68
Maryland,9.7,12.9,0.1,0.12
Massachusetts,7.4,10.7,-0.03,0.02
Michigan,2.3,7.5,0.21,0.21
Minnesota,1.9,3.9,0,0.05
Mississippi,0.9,6.6,0,0.06
Missouri,3.4,7.5,0.42,0.19
Montana,2.2,8.7,-0.04,0.4
Nebraska,1.5,3.9,-0.21,0
Nevada,10,14.8,0.18,0.2
New Hampshire,6.3,8.7,0.54,0.43
New Jersey,5.6,9.3,0.22,0.15
New Mexico,11.1,16.1,0.32,0.12
New York,2.9,4.8,-0.09,-0.14
North Carolina,4.9,7.7,0.2,0.17
North Dakota,NR,NR,NSD,NSD
Ohio,3.7,8.2,0.23,0.26
Oklahoma,4.3,7.1,-0.07,-0.11
Oregon,5.4,8.9,0.29,0.29
Pennsylvania,2.9,9.1,0.38,0.15
Rhode Island,6.8,9.3,-0.08,-0.09
South Carolina,2,5.3,0,-0.1
South Dakota,NR,3.1,NSD,-0.03
Tennessee,2.9,8.5,0.21,0.16
Texas,3.4,7.5,0.31,0.14
Utah,9.7,14,0.24,0.35
Vermont,5.8,7.5,0.16,0.06
Virginia,4.7,6.8,0.12,0.1
Washington,7.4,10.4,0.4,0.28
West Virginia,10.1,12.9,0.28,0.12
Wisconsin,3.2,6.2,0.23,0.24
Wyoming,NR,6.9,NSD,0.53
